bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1UP9ABREVt,,,,author_expand,owner:477676711,2026-04-03T07:26:36.746909+00:00,2026-04-03T07:26:36.746909+00:00,477676711,28,2026-04-03T04:00:00+00:00,24,51492.0,owner:477676711,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_2.csv,uid_expansions,0
BV1ce9FBBEf5,1008.0,游戏,46.0,rankboard,rankboard:rid=1008:rank=46,2026-04-05T08:03:34.387514+00:00,,512839,172,2026-04-03T04:00:00+00:00,528,811174.0,"rankboard:rid=1008:rank=46,https://www.bilibili.com/v/popular/rank/game",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1nf9cBgEMX,1008.0,游戏,60.0,rankboard,rankboard:rid=1008:rank=60,2026-04-05T08:03:34.387514+00:00,,43222001,172,2026-04-03T04:00:00+00:00,1107,662964.0,"rankboard:rid=1008:rank=60,https://www.bilibili.com/v/popular/rank/game",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1qD9PBVEk1,1008.0,游戏,77.0,rankboard,rankboard:rid=1008:rank=77,2026-04-05T08:03:34.387514+00:00,,10874201,17,2026-04-03T04:00:00+00:00,575,517015.0,"rankboard:rid=1008:rank=77,https://www.bilibili.com/v/popular/rank/game",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1e89cBFEzj,1008.0,游戏,78.0,rankboard,rankboard:rid=1008:rank=78,2026-04-05T08:03:34.387514+00:00,,551188239,172,2026-04-03T04:00:00+00:00,384,763616.0,"rankboard:rid=1008:rank=78,https://www.bilibili.com/v/popular/rank/game",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1tY9LBsEHe,1007.0,鬼畜,52.0,rankboard,rankboard:rid=1007:rank=52,2026-04-05T08:03:36.836278+00:00,,2283296,22,2026-04-03T04:00:00+00:00,92,140795.0,"rankboard:rid=1007:rank=52,https://www.bilibili.com/v/popular/rank/kichiku",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1UfXZBkE7W,1007.0,鬼畜,97.0,rankboard,rankboard:rid=1007:rank=97,2026-04-05T08:03:36.836278+00:00,,75084257,216,2026-04-03T04:00:00+00:00,125,71675.0,"rankboard:rid=1007:rank=97,https://www.bilibili.com/v/popular/rank/kichiku",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1SxXrBcEN7,1003.0,音乐,23.0,rankboard,rankboard:rid=1003:rank=23,2026-04-05T08:03:39.447859+00:00,,8663303,17,2026-04-03T04:00:00+00:00,275,442683.0,"rankboard:rid=1003:rank=23,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1Tx9wBQEt3,1003.0,音乐,77.0,rankboard,rankboard:rid=1003:rank=77,2026-04-05T08:03:39.447859+00:00,,1015374900,130,2026-04-03T04:00:00+00:00,229,110053.0,"rankboard:rid=1003:rank=77,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1qQ9LB3EHq,1003.0,音乐,94.0,rankboard,rankboard:rid=1003:rank=94,2026-04-05T08:03:39.447859+00:00,,7295246,243,2026-04-03T04:00:00+00:00,618,172468.0,"rankboard:rid=1003:rank=94,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
