bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1VSXZBSE4F,,,,hot,hot:pn=10:ps=20,2026-04-03T07:23:31.217316+00:00,2026-04-03T07:23:31.217316+00:00,1722516565,65,2026-04-02T09:30:00+00:00,669,249581.0,hot:pn=10:ps=20,full_site_floorings/daily_hot-20260403_152331.csv,full_site_floorings,1004
BV1Se9JBuEjP,,,,hot,hot:pn=16:ps=20,2026-04-02T15:36:48.627522+00:00,2026-04-02T15:36:48.627522+00:00,410877001,17,2026-04-02T09:30:00+00:00,4561,42612.0,hot:pn=16:ps=20,full_site_floorings/daily_hot-20260402_233648.csv,full_site_floorings,1007
BV1gjXZBVEw3,,,,author_expand,owner:4351252,2026-04-03T06:12:57.770758+00:00,2026-04-03T06:12:57.770758+00:00,4351252,205,2026-04-02T09:29:46+00:00,20,39.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_1.csv,uid_expansions,0
BV18jXZBGEpT,,,,author_expand,owner:393694091,2026-04-03T06:23:15.754019+00:00,2026-04-03T06:23:15.754019+00:00,393694091,154,2026-04-02T09:29:34+00:00,266,2269.0,owner:393694091,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_1.csv,uid_expansions,0
BV1ujXZBGEsv,,,,author_expand,owner:4351252,2026-04-03T06:12:57.770758+00:00,2026-04-03T06:12:57.770758+00:00,4351252,205,2026-04-02T09:27:35+00:00,32,711.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_1.csv,uid_expansions,0
BV1D3XZB1EqS,1005.0,动画,37.0,rankboard,rankboard:rid=1005:rank=37,2026-04-05T08:03:32.175702+00:00,,3493105919593012,86,2026-04-02T09:24:56+00:00,22,381539.0,"rankboard:rid=1005:rank=37,https://www.bilibili.com/v/popular/rank/douga",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1g3XZB1E63,1004.0,舞蹈,54.0,rankboard,rankboard:rid=1004:rank=54,2026-04-05T08:03:41.569120+00:00,,416377942,154,2026-04-02T09:24:45+00:00,15,59400.0,"rankboard:rid=1004:rank=54,https://www.bilibili.com/v/popular/rank/dance",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1g3XZB1E7Z,,,,author_expand,owner:511769504,2026-04-03T06:09:55.851248+00:00,2026-04-03T06:09:55.851248+00:00,511769504,75,2026-04-02T09:23:58+00:00,191,632.0,owner:511769504,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_1.csv,uid_expansions,0
BV1g3XZB1EzG,,,,author_expand,owner:271970833,2026-04-03T05:37:55.093647+00:00,2026-04-03T05:37:55.093647+00:00,271970833,208,2026-04-02T09:23:53+00:00,3233,2435.0,owner:271970833,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_1.csv,uid_expansions,0
BV1uVXZB5EXW,,,,author_expand,owner:1659651634,2026-04-03T05:07:22.004786+00:00,2026-04-03T05:07:22.004786+00:00,1659651634,138,2026-04-02T09:22:37+00:00,219,758970.0,owner:1659651634,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_1.csv,uid_expansions,0
BV18VXZB5EW3,1020.0,美食,62.0,rankboard,rankboard:rid=1020:rank=62,2026-04-05T08:03:52.636349+00:00,,3537122973714533,212,2026-04-02T09:21:42+00:00,438,232209.0,"rankboard:rid=1020:rank=62,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV14nXZBzE1A,1003.0,音乐,33.0,rankboard,rankboard:rid=1003:rank=33,2026-04-05T08:03:39.447859+00:00,,1235351297,21,2026-04-02T09:20:14+00:00,1174,636709.0,"rankboard:rid=1003:rank=33,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1YN9EBgEwA,1002.0,娱乐,83.0,rankboard,rankboard:rid=1002:rank=83,2026-04-05T08:03:45.500620+00:00,,3632299966990840,21,2026-04-02T09:20:00+00:00,3489,16665.0,"rankboard:rid=1002:rank=83,https://www.bilibili.com/v/popular/rank/ent",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1yTXfBTEzR,1024.0,动物,25.0,rankboard,rankboard:rid=1024:rank=25,2026-04-05T08:04:01.375587+00:00,,1409380252,221,2026-04-02T09:20:00+00:00,363,323720.0,"rankboard:rid=1024:rank=25,https://www.bilibili.com/v/popular/rank/animal",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1hVXZB5Eab,,,,hot,hot:pn=8:ps=20,2026-04-03T07:23:31.217316+00:00,2026-04-03T07:23:31.217316+00:00,3706956755765757,21,2026-04-02T09:18:49+00:00,80,229887.0,hot:pn=8:ps=20,full_site_floorings/daily_hot-20260403_152331.csv,full_site_floorings,1004
BV1SVXZB5Eei,0.0,全站,33.0,rankboard,rankboard:rid=0:rank=33,2026-04-05T08:03:30.109430+00:00,,473837611,21,2026-04-02T09:18:42+00:00,1308,1352080.0,"rankboard:rid=0:rank=33,https://www.bilibili.com/v/popular/rank/all",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1mnXZBzErX,1014.0,时尚美妆,77.0,rankboard,rankboard:rid=1014:rank=77,2026-04-05T08:03:56.988732+00:00,,673507076,21,2026-04-02T09:17:37+00:00,15,29900.0,"rankboard:rid=1014:rank=77,https://www.bilibili.com/v/popular/rank/fashion",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1TnXZBzEsS,,,,author_expand,owner:189866857,2026-04-03T05:29:46.347467+00:00,2026-04-03T05:29:46.347467+00:00,189866857,205,2026-04-02T09:17:16+00:00,24,253145.0,owner:189866857,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_1.csv,uid_expansions,0
BV1NnXZBzEvK,,,,hot,hot:pn=8:ps=20,2026-04-04T11:40:37.942228+00:00,2026-04-04T11:40:37.942228+00:00,3493122168326421,21,2026-04-02T09:15:26+00:00,1000,342604.0,hot:pn=8:ps=20,full_site_floorings/daily_hot-20260404_194037.csv,full_site_floorings,1002
BV1KnXZBzEwL,1003.0,音乐,10.0,rankboard,rankboard:rid=1003:rank=10,2026-04-05T08:03:39.447859+00:00,,37754047,31,2026-04-02T09:15:22+00:00,164,1214780.0,"rankboard:rid=1003:rank=10,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1xnXZBzE6t,1003.0,音乐,69.0,rankboard,rankboard:rid=1003:rank=69,2026-04-05T08:03:39.447859+00:00,,193262326,243,2026-04-02T09:14:52+00:00,322,366664.0,"rankboard:rid=1003:rank=69,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1mnXZBzEnB,,,,author_expand,owner:522653994,2026-04-03T05:39:07.675938+00:00,2026-04-03T05:39:07.675938+00:00,522653994,205,2026-04-02T09:14:20+00:00,60,19168.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_1.csv,uid_expansions,0
BV14pXZBMEFw,,,,author_expand,owner:569784264,2026-04-03T06:23:31.343985+00:00,2026-04-03T06:23:31.343985+00:00,569784264,183,2026-04-02T09:10:00+00:00,986,180.0,owner:569784264,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_1.csv,uid_expansions,0
BV1u7XZBrEGp,1024.0,动物,78.0,rankboard,rankboard:rid=1024:rank=78,2026-04-05T08:04:01.375587+00:00,,3546761251523479,254,2026-04-02T09:07:31+00:00,41,246389.0,"rankboard:rid=1024:rank=78,https://www.bilibili.com/v/popular/rank/animal",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV1T7XZBrE9d,1020.0,美食,73.0,rankboard,rankboard:rid=1020:rank=73,2026-04-05T08:03:52.636349+00:00,,1999794428,215,2026-04-02T09:05:49+00:00,64,287322.0,"rankboard:rid=1020:rank=73,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260405_160330.csv,full_site_floorings,1000
BV11U9WBLE69,,,,author_expand,owner:652239032,2026-04-03T05:32:34.287140+00:00,2026-04-03T05:32:34.287140+00:00,652239032,17,2026-04-02T09:05:00+00:00,78,6057.0,owner:652239032,uid_expansions/uid_expansion_20260325_20260403_124149/videolist_part_1.csv,uid_expansions,0
