bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1f5XeBxEeK,1020.0,美食,18.0,rankboard,rankboard:rid=1020:rank=18,2026-04-03T07:24:44.112355+00:00,,3546570674932451,76,2026-03-30T10:10:54+00:00,192,1326676.0,"rankboard:rid=1020:rank=18,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260403_152422.csv,full_site_floorings,1000
BV1E5XeBxE7o,1018.0,体育运动,96.0,rankboard,rankboard:rid=1018:rank=96,2026-04-02T15:38:30.904730+00:00,,201164593,249,2026-03-30T10:10:37+00:00,18,103335.0,"rankboard:rid=1018:rank=96,https://www.bilibili.com/v/popular/rank/sports",full_site_floorings/rankboard-20260402_233802.csv,full_site_floorings,1002
BV1RjQqBoENU,1020.0,美食,57.0,rankboard,rankboard:rid=1020:rank=57,2026-04-03T07:24:44.112355+00:00,,413665933,76,2026-03-30T10:10:00+00:00,34,563083.0,"rankboard:rid=1020:rank=57,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260403_152422.csv,full_site_floorings,1000
BV1SUXdBrEQr,1002.0,娱乐,89.0,rankboard,rankboard:rid=1002:rank=89,2026-04-01T11:56:49.384483+00:00,,3537106211179005,182,2026-03-30T10:10:00+00:00,7645,26837.0,"rankboard:rid=1002:rank=89,https://www.bilibili.com/v/popular/rank/ent",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1004
BV1E5XeBxETd,,,,author_expand,owner:43484780,2026-04-01T12:57:45.426831+00:00,2026-04-01T12:57:45.426831+00:00,43484780,220,2026-03-30T10:08:05+00:00,442,13933.0,owner:43484780,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV17LXeBREeQ,1024.0,动物,63.0,rankboard,rankboard:rid=1024:rank=63,2026-04-02T15:38:33.076196+00:00,,451758,218,2026-03-30T10:07:56+00:00,111,177195.0,"rankboard:rid=1024:rank=63,https://www.bilibili.com/v/popular/rank/animal",full_site_floorings/rankboard-20260402_233802.csv,full_site_floorings,1002
BV1dvXhB5EpY,1010.0,知识,91.0,rankboard,rankboard:rid=1010:rank=91,2026-04-03T07:24:40.264256+00:00,,627744686,124,2026-03-30T10:07:44+00:00,1316,765635.0,"rankboard:rid=1010:rank=91,https://www.bilibili.com/v/popular/rank/knowledge",full_site_floorings/rankboard-20260403_152422.csv,full_site_floorings,1000
BV175XeBxEMn,1014.0,时尚美妆,96.0,rankboard,rankboard:rid=1014:rank=96,2026-04-03T07:24:48.794462+00:00,,11131300,158,2026-03-30T10:07:39+00:00,95,51507.0,"rankboard:rid=1014:rank=96,https://www.bilibili.com/v/popular/rank/fashion",full_site_floorings/rankboard-20260403_152422.csv,full_site_floorings,1000
BV1BLXeBRE3f,1014.0,时尚美妆,10.0,rankboard,rankboard:rid=1014:rank=10,2026-04-03T07:24:48.794462+00:00,,300486,252,2026-03-30T10:06:02+00:00,14,885913.0,"rankboard:rid=1014:rank=10,https://www.bilibili.com/v/popular/rank/fashion",full_site_floorings/rankboard-20260403_152422.csv,full_site_floorings,1000
BV1oWXSBeEWb,,,,author_expand,owner:3632305295854334,2026-04-01T13:54:44.566463+00:00,2026-04-01T13:54:44.566463+00:00,3632305295854334,213,2026-03-30T10:06:00+00:00,148,45984.0,owner:3632305295854334,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV17LXeBREi5,1001.0,影视,58.0,rankboard,rankboard:rid=1001:rank=58,2026-04-03T07:24:36.118023+00:00,,286398266,21,2026-03-30T10:05:35+00:00,523,435945.0,"rankboard:rid=1001:rank=58,https://www.bilibili.com/v/popular/rank/cinephile",full_site_floorings/rankboard-20260403_152422.csv,full_site_floorings,1000
BV1iLXeBRE29,1014.0,时尚美妆,68.0,rankboard,rankboard:rid=1014:rank=68,2026-04-03T07:24:48.794462+00:00,,2300121,138,2026-03-30T10:05:03+00:00,62,230000.0,"rankboard:rid=1014:rank=68,https://www.bilibili.com/v/popular/rank/fashion",full_site_floorings/rankboard-20260403_152422.csv,full_site_floorings,1000
BV17LXeBdEZG,,,,author_expand,owner:3546786627062259,2026-04-01T13:37:06.950298+00:00,2026-04-01T13:37:06.950298+00:00,3546786627062259,75,2026-03-30T10:05:02+00:00,52,604.0,owner:3546786627062259,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV1NFXoBNEXD,,,,author_expand,owner:652239032,2026-04-01T12:38:26.113065+00:00,2026-04-01T12:38:26.113065+00:00,652239032,17,2026-03-30T10:05:00+00:00,52,43002.0,owner:652239032,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV1h1XhBqEKB,,,,author_expand,owner:476967268,2026-04-01T12:58:24.678706+00:00,2026-04-01T12:58:24.678706+00:00,476967268,228,2026-03-30T10:05:00+00:00,1048,604698.0,owner:476967268,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV1KwA3zaEeN,,,,author_expand,owner:3690987389979065,2026-04-01T13:50:20.815272+00:00,2026-04-01T13:50:20.815272+00:00,3690987389979065,168,2026-03-30T10:05:00+00:00,75,444.0,owner:3690987389979065,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
