bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1hgX5B4EvZ,1013.0,汽车,63.0,rankboard,rankboard:rid=1013:rank=63,2026-04-01T11:56:57.901328+00:00,,14614229,176,2026-03-28T09:43:37+00:00,203,199110.0,"rankboard:rid=1013:rank=63,https://www.bilibili.com/v/popular/rank/car",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1004
BV1S5X5B9EVd,,,,author_expand,owner:1905206817,2026-04-01T13:11:11.077175+00:00,2026-04-01T13:11:11.077175+00:00,1905206817,205,2026-03-28T09:41:40+00:00,12,23581.0,owner:1905206817,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV1YgX5B4EPg,1003.0,音乐,20.0,rankboard,rankboard:rid=1003:rank=20,2026-04-01T04:21:46.317129+00:00,,3706954174171499,21,2026-03-28T09:40:36+00:00,16,632931.0,"rankboard:rid=1003:rank=20,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260401_122137.csv,full_site_floorings,1006
BV1vyX5BPERi,1001.0,影视,71.0,rankboard,rankboard:rid=1001:rank=71,2026-04-02T15:38:16.115660+00:00,,696115518,21,2026-03-28T09:40:35+00:00,1053,854870.0,"rankboard:rid=1001:rank=71,https://www.bilibili.com/v/popular/rank/cinephile",full_site_floorings/rankboard-20260402_233802.csv,full_site_floorings,1002
BV1PQXKB4Esd,1012.0,科技数码,64.0,rankboard,rankboard:rid=1012:rank=64,2026-04-01T04:21:57.153011+00:00,,2000794322,21,2026-03-28T09:40:00+00:00,150,244873.0,"rankboard:rid=1012:rank=64,https://www.bilibili.com/v/popular/rank/tech",full_site_floorings/rankboard-20260401_122137.csv,full_site_floorings,1006
BV1XgX5B4EQh,,,,author_expand,owner:411379495,2026-04-01T12:48:02.596146+00:00,2026-04-01T12:48:02.596146+00:00,411379495,164,2026-03-28T09:39:57+00:00,58,97217.0,owner:411379495,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV1YgX5B4EEf,,,,author_expand,owner:2137589551,2026-04-01T13:05:19.135527+00:00,2026-04-01T13:05:19.135527+00:00,2137589551,207,2026-03-28T09:39:34+00:00,198,32975.0,owner:2137589551,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV1Q3X5BdE1W,1020.0,美食,52.0,rankboard,rankboard:rid=1020:rank=52,2026-04-01T11:56:56.113605+00:00,,44708078,164,2026-03-28T09:37:27+00:00,270,602624.0,"rankboard:rid=1020:rank=52,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1004
BV1dhXbBuEYC,1010.0,知识,27.0,rankboard,rankboard:rid=1010:rank=27,2026-04-01T11:56:51.702430+00:00,,1097068159,208,2026-03-28T09:35:00+00:00,44,2382390.0,"rankboard:rid=1010:rank=27,https://www.bilibili.com/v/popular/rank/knowledge",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1004
BV1cvX5B3EXL,,,,author_expand,owner:212345699,2026-04-01T12:45:48.642739+00:00,2026-04-01T12:45:48.642739+00:00,212345699,228,2026-03-28T09:30:00+00:00,1186,1090811.0,owner:212345699,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV1H8X5BCEaY,,,,author_expand,owner:3632315081165507,2026-04-01T13:01:47.426186+00:00,2026-04-01T13:01:47.426186+00:00,3632315081165507,213,2026-03-28T09:30:00+00:00,601,195425.0,owner:3632315081165507,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV14jXGByEF3,,,,author_expand,owner:1658720232,2026-04-01T13:15:20.702928+00:00,2026-04-01T13:15:20.702928+00:00,1658720232,220,2026-03-28T09:30:00+00:00,71,2830.0,owner:1658720232,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
BV1GYXKBzEvM,1013.0,汽车,9.0,rankboard,rankboard:rid=1013:rank=9,2026-04-03T07:24:46.359572+00:00,,337294714,176,2026-03-28T09:30:00+00:00,413,2748386.0,"rankboard:rid=1013:rank=9,https://www.bilibili.com/v/popular/rank/car",full_site_floorings/rankboard-20260403_152422.csv,full_site_floorings,1000
BV1jwXxBaEBD,1020.0,美食,93.0,rankboard,rankboard:rid=1020:rank=93,2026-04-01T11:56:56.113605+00:00,,393275268,215,2026-03-28T09:30:00+00:00,61,1576890.0,"rankboard:rid=1020:rank=93,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1004
BV151X5BYEJe,1020.0,美食,72.0,rankboard,rankboard:rid=1020:rank=72,2026-04-01T11:56:56.113605+00:00,,259713513,215,2026-03-28T09:29:44+00:00,283,449887.0,"rankboard:rid=1020:rank=72,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1004
