bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1T69MBiEBC,1024.0,动物,54.0,rankboard,rankboard:rid=1024:rank=54,2026-04-06T09:02:47.859676+00:00,,8779879,220,2026-04-03T12:15:37+00:00,63,277880.0,"rankboard:rid=1024:rank=54,https://www.bilibili.com/v/popular/rank/animal",full_site_floorings/rankboard-20260406_170215.csv,full_site_floorings,1000
BV1Tq9MBBEpy,1014.0,时尚美妆,17.0,rankboard,rankboard:rid=1014:rank=17,2026-04-06T09:02:43.490845+00:00,,415897343,252,2026-04-03T12:14:49+00:00,121,516957.0,"rankboard:rid=1014:rank=17,https://www.bilibili.com/v/popular/rank/fashion",full_site_floorings/rankboard-20260406_170215.csv,full_site_floorings,1000
BV1Nk9MBNEvD,1002.0,娱乐,84.0,rankboard,rankboard:rid=1002:rank=84,2026-04-06T09:02:31.704956+00:00,,433279013,241,2026-04-03T12:12:42+00:00,205,27420.0,"rankboard:rid=1002:rank=84,https://www.bilibili.com/v/popular/rank/ent",full_site_floorings/rankboard-20260406_170215.csv,full_site_floorings,1000
BV14k9MBNEAJ,,,,author_expand,owner:522653994,2026-04-04T08:13:22.196026+00:00,2026-04-04T08:13:22.196026+00:00,522653994,205,2026-04-03T12:12:34+00:00,23,7150.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260404_153028/videolist_part_1.csv,uid_expansions,0
BV1Nk9MBNEGT,1001.0,影视,20.0,rankboard,rankboard:rid=1001:rank=20,2026-04-06T09:02:29.582733+00:00,,23389329,182,2026-04-03T12:12:29+00:00,538,1982882.0,"rankboard:rid=1001:rank=20,https://www.bilibili.com/v/popular/rank/cinephile",full_site_floorings/rankboard-20260406_170215.csv,full_site_floorings,1000
BV14k9MBNENV,,,,hot,hot:pn=12:ps=20,2026-04-06T09:01:13.575381+00:00,2026-04-06T09:01:13.575381+00:00,3546842807667088,215,2026-04-03T12:12:18+00:00,30,1760980.0,hot:pn=12:ps=20,full_site_floorings/daily_hot-20260406_170113.csv,full_site_floorings,1001
BV1Kk9MBNEcJ,1003.0,音乐,65.0,rankboard,rankboard:rid=1003:rank=65,2026-04-06T09:02:25.357579+00:00,,540564177,244,2026-04-03T12:12:14+00:00,1131,394126.0,"rankboard:rid=1003:rank=65,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260406_170215.csv,full_site_floorings,1000
BV1Kq9MBBEDz,1007.0,鬼畜,31.0,rankboard,rankboard:rid=1007:rank=31,2026-04-06T09:02:22.750574+00:00,,40489639,22,2026-04-03T12:09:04+00:00,213,265790.0,"rankboard:rid=1007:rank=31,https://www.bilibili.com/v/popular/rank/kichiku",full_site_floorings/rankboard-20260406_170215.csv,full_site_floorings,1000
BV1tq9MBBEPZ,,,,author_expand,owner:1390829728,2026-04-04T08:43:13.908933+00:00,2026-04-04T08:43:13.908933+00:00,1390829728,205,2026-04-03T12:08:58+00:00,51,1454.0,owner:1390829728,uid_expansions/uid_expansion_20260325_20260404_153028/videolist_part_1.csv,uid_expansions,0
BV1mz9MBTEoS,1003.0,音乐,39.0,rankboard,rankboard:rid=1003:rank=39,2026-04-06T09:02:25.357579+00:00,,3546875875560270,138,2026-04-03T12:07:00+00:00,126,1160655.0,"rankboard:rid=1003:rank=39,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260406_170215.csv,full_site_floorings,1000
BV1Mq9MBBEhy,,,,author_expand,owner:4351252,2026-04-04T08:56:03.216352+00:00,2026-04-04T08:56:03.216352+00:00,4351252,205,2026-04-03T12:06:57+00:00,20,237.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260404_153028/videolist_part_1.csv,uid_expansions,0
BV1gh9MBkE71,,,,author_expand,owner:7584632,2026-04-04T07:32:45.946068+00:00,2026-04-04T07:32:45.946068+00:00,7584632,183,2026-04-03T12:05:00+00:00,102,5721.0,owner:7584632,uid_expansions/uid_expansion_20260325_20260404_153028/videolist_part_1.csv,uid_expansions,0
