bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1ezXhBkEL8,,,,hot,hot:pn=14:ps=20,2026-04-02T15:36:48.627522+00:00,2026-04-02T15:36:48.627522+00:00,23604445,17,2026-03-30T10:00:00+00:00,525,1182584.0,hot:pn=14:ps=20,full_site_floorings/daily_hot-20260402_233648.csv,full_site_floorings,1001
BV1wnXhBREuZ,0.0,全站,63.0,rankboard,rankboard:rid=0:rank=63,2026-04-01T11:56:32.452870+00:00,,3494367664801943,176,2026-03-30T10:00:00+00:00,395,2325945.0,"rankboard:rid=0:rank=63,https://www.bilibili.com/v/popular/rank/all",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1002
BV1vvXhB5EZu,1005.0,动画,68.0,rankboard,rankboard:rid=1005:rank=68,2026-04-01T11:56:35.079368+00:00,,13574291,252,2026-03-30T10:00:00+00:00,21,249074.0,"rankboard:rid=1005:rank=68,https://www.bilibili.com/v/popular/rank/douga",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1002
BV1zPXDBTEHq,1001.0,影视,71.0,rankboard,rankboard:rid=1001:rank=71,2026-04-01T11:56:46.822530+00:00,,14079696,182,2026-03-30T10:00:00+00:00,5057,156594.0,"rankboard:rid=1001:rank=71,https://www.bilibili.com/v/popular/rank/cinephile",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1002
BV1tRXYBuEQL,1010.0,知识,93.0,rankboard,rankboard:rid=1010:rank=93,2026-04-01T11:56:51.702430+00:00,,3537118582278552,201,2026-03-30T10:00:00+00:00,260,287800.0,"rankboard:rid=1010:rank=93,https://www.bilibili.com/v/popular/rank/knowledge",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1002
BV1pZXhBbEfm,1012.0,科技数码,91.0,rankboard,rankboard:rid=1012:rank=91,2026-04-01T11:56:54.297964+00:00,,429632410,95,2026-03-30T10:00:00+00:00,250,134955.0,"rankboard:rid=1012:rank=91,https://www.bilibili.com/v/popular/rank/tech",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1002
BV18mXhBKEDk,1013.0,汽车,91.0,rankboard,rankboard:rid=1013:rank=91,2026-04-01T11:56:57.901328+00:00,,99769189,176,2026-03-30T10:00:00+00:00,85,92232.0,"rankboard:rid=1013:rank=91,https://www.bilibili.com/v/popular/rank/car",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1002
BV1ecXGBREqr,1024.0,动物,83.0,rankboard,rankboard:rid=1024:rank=83,2026-04-01T11:57:05.044286+00:00,,3546971209992737,219,2026-03-30T10:00:00+00:00,167,110548.0,"rankboard:rid=1024:rank=83,https://www.bilibili.com/v/popular/rank/animal",full_site_floorings/rankboard-20260401_195632.csv,full_site_floorings,1002
BV1LSXjBBED1,,,,hot,hot:pn=13:ps=20,2026-04-01T04:20:14.849399+00:00,2026-04-01T04:20:14.849399+00:00,172836666,21,2026-03-30T10:00:00+00:00,578,358967.0,hot:pn=13:ps=20,full_site_floorings/daily_hot-20260401_122014.csv,full_site_floorings,1005
BV1JGXeBoE3t,,,,author_expand,owner:1707168152,2026-04-01T13:15:22.213165+00:00,2026-04-01T13:15:22.213165+00:00,1707168152,195,2026-03-30T09:56:55+00:00,118,1566.0,owner:1707168152,uid_expansions/uid_expansion_20260325_20260401_195846/videolist_part_1.csv,uid_expansions,0
