bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1d5DMBkEBx,1018.0,体育运动,38.0,rankboard,rankboard:rid=1018:rank=38,2026-04-09T13:14:57.589434+00:00,,3691006534879818,235,2026-04-04T08:11:59+00:00,64,581941.0,"rankboard:rid=1018:rank=38,https://www.bilibili.com/v/popular/rank/sports",full_site_floorings/rankboard-20260409_211427.csv,full_site_floorings,1002
BV19pDMBTELo,,,,author_expand,owner:1794194767,2026-04-04T08:58:33.400186+00:00,2026-04-04T08:58:33.400186+00:00,1794194767,137,2026-04-04T07:51:36+00:00,27,27.0,owner:1794194767,uid_expansions/uid_expansion_20260325_20260404_153028/videolist_part_1.csv,uid_expansions,0
BV1QpDMBTE2M,1005.0,动画,75.0,rankboard,rankboard:rid=1005:rank=75,2026-04-09T13:14:30.064291+00:00,,640645905,21,2026-04-04T07:50:17+00:00,114,565881.0,"rankboard:rid=1005:rank=75,https://www.bilibili.com/v/popular/rank/douga",full_site_floorings/rankboard-20260409_211427.csv,full_site_floorings,1002
BV1EKDKB3EbE,,,,author_expand,owner:1506026000,2026-04-04T09:22:38.111068+00:00,2026-04-04T09:22:38.111068+00:00,1506026000,21,2026-04-04T06:12:55+00:00,284,286.0,owner:1506026000,uid_expansions/uid_expansion_20260325_20260404_153028/videolist_part_1.csv,uid_expansions,0
