bvid,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs
BV113DjB2Ezt,author_expand,owner:411379495,2026-04-08T12:20:46.170190+00:00,2026-04-08T12:20:46.170190+00:00,411379495,164,2026-04-08T09:16:21+00:00,50,40889.0,owner:411379495
BV145DrBQEkr,author_expand,owner:411379495,2026-04-08T12:20:46.170190+00:00,2026-04-08T12:20:46.170190+00:00,411379495,164,2026-04-08T05:12:00+00:00,60,86029.0,owner:411379495
BV151DeB7EX1,author_expand,owner:3493280171952766,2026-04-08T12:21:19.780428+00:00,2026-04-08T12:21:19.780428+00:00,3493280171952766,172,2026-04-07T11:43:39+00:00,161,211.0,owner:3493280171952766
BV1obDzBYESi,author_expand,owner:3546592848120041,2026-04-08T12:21:40.448306+00:00,2026-04-08T12:21:40.448306+00:00,3546592848120041,27,2026-04-08T01:17:48+00:00,7344,1363.0,owner:3546592848120041
