bvid,has_stat_snapshot,has_comment_snapshot
BV111XLBHE2R,True,True
BV111XLBHEEr,True,True
BV111XLBHEcz,True,True
BV111XLBHEi4,True,True
BV111XLBHEmJ,True,True
BV111XmBrEB7,True,True
BV111XmBrEzP,True,True
BV112DGBTE92,True,True
BV113XMBaE1f,True,True
BV114X5B1ELr,True,True
BV114XNB9Emc,True,True
BV114XNB9Eo6,True,True
BV114XNB9EoW,True,True
BV114XUBCEbs,True,True
BV114XjBWEHX,True,True
BV114XjBWEMC,True,True
BV114XzBQE2o,True,True
BV114XzBQEb5,True,True
BV1159NBdECv,True,True
BV1159NBdEPr,True,True
BV1159NBdEaf,True,True
BV115XMB8Eun,True,True
BV115XhBZEBL,True,True
BV115XhBZEMX,True,True
BV115XhBZEac,True,True
BV115XhBZEht,True,True
BV115XkBtEy9,True,True
BV116X1BTE5s,True,True
BV116X3BuEbn,True,True
BV1179TBaE6f,True,True
BV1179TBaEfU,True,True
BV117XYBeEBt,True,True
BV1189FB3EL1,True,True
BV118XDBJEwG,True,True
BV118XNBQEuP,True,True
BV118XTB8E4h,True,True
BV118XjBHEF3,True,True
BV118XjBHEWy,True,True
BV118XzBSEic,True,True
BV119Q1BeEYx,True,True
BV119XbBWEbE,True,True
BV119XbBWEbu,True,True
BV11AXPBHExn,True,True
BV11BX1BBE1R,True,True
BV11BX1BBEoy,True,True
BV11BXnBaEKR,True,True
BV11C9MBeEr6,True,True
BV11DDABkEPF,True,True
BV11DXbBxENF,True,True
BV11EXGBVEqe,True,True
BV11EXGBVEz7,True,True
BV11EXHBNEmv,True,True
BV11EXgBvEVJ,True,True
BV11EXvBrEms,True,True
BV11FX3BqETt,True,True
BV11FXpBKERh,True,True
BV11FXpBKEnp,True,True
BV11FXpBKEqW,True,True
BV11GXhBFEix,True,True
BV11GXhBFEsM,True,True
BV11GXhBFEyS,True,True
BV11GXkBfEke,True,True
BV11HX2BuEsg,True,True
BV11HXGB3EkG,True,True
BV11J9TBcEct,True,True
BV11JXGBkE4A,True,True
BV11JXGBkEF9,True,True
BV11JXGBkEhq,True,True
BV11K9cB1EBA,True,True
BV11K9cB1Eec,True,True
BV11KNNzHED4,True,True
BV11KXBB7Ecv,True,True
BV11KXPBJE2b,True,True
BV11KXPBJEYb,True,True
BV11KXPBJEx7,True,True
BV11L9jBREKt,True,True
BV11LXkBoERR,True,True
BV11M9cB5ENR,True,True
BV11MX6B9EWA,True,True
BV11MX6B9EWF,True,True
BV11MXLBmEHq,True,True
BV11NDGBNE7Z,True,True
BV11NXSBmEdo,True,True
BV11NXfBBEWv,True,True
BV11NXfBBEY6,True,True
BV11NXfBBEt2,True,True
BV11NXfBBEvt,True,True
BV11PNNzXEXm,True,True
BV11PXPBDEgb,True,True
BV11PXfBuEc6,True,True
BV11PXsB3ENH,True,True
BV11QXbBRE9B,True,True
BV11S9WByEF7,True,True
BV11S9WByEJ6,True,True
BV11S9WByExo,True,True
BV11SXQBsEDS,True,True
BV11SXQBsEmd,True,True
BV11SXSB2E3U,True,True
BV11SXSB2EkN,True,True
BV11SXSB2Etz,True,True
