bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1dt9WBfENn,,,,author_expand,owner:3691009749813915,2026-04-02T06:21:42.209358+00:00,2026-04-02T06:21:42.209358+00:00,3691009749813915,27,2026-04-02T04:01:28+00:00,3838,344.0,owner:3691009749813915,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1d49WB8EXP,0.0,全站,33.0,rankboard,rankboard:rid=0:rank=33,2026-04-02T15:38:02.988617+00:00,,1745584728,193,2026-04-02T04:01:23+00:00,217,1235971.0,"rankboard:rid=0:rank=33,https://www.bilibili.com/v/popular/rank/all",full_site_floorings/rankboard-20260402_233802.csv,full_site_floorings,1000
BV1uk9WBnEBf,,,,author_expand,owner:7584632,2026-04-02T04:50:30.064056+00:00,2026-04-02T04:50:30.064056+00:00,7584632,183,2026-04-02T04:00:02+00:00,235,759.0,owner:7584632,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1wj9WBMEgG,,,,author_expand,owner:4856007,2026-04-02T05:08:45.578498+00:00,2026-04-02T05:08:45.578498+00:00,4856007,187,2026-04-02T04:00:02+00:00,151,2143.0,owner:4856007,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1DTXkBAEVi,,,,author_expand,owner:1532165,2026-04-02T04:50:14.768490+00:00,2026-04-02T04:50:14.768490+00:00,1532165,256,2026-04-02T04:00:00+00:00,1905,116627.0,owner:1532165,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV11p9nBiEQu,,,,author_expand,owner:7584632,2026-04-02T04:50:30.064056+00:00,2026-04-02T04:50:30.064056+00:00,7584632,183,2026-04-02T04:00:00+00:00,256,1208.0,owner:7584632,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1D897BPEgF,,,,author_expand,owner:401742377,2026-04-02T04:52:42.182361+00:00,2026-04-02T04:52:42.182361+00:00,401742377,172,2026-04-02T04:00:00+00:00,688,194487.0,owner:401742377,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1TC9WBSED8,,,,author_expand,owner:174949313,2026-04-02T05:26:46.495072+00:00,2026-04-02T05:26:46.495072+00:00,174949313,214,2026-04-02T04:00:00+00:00,483,2834.0,owner:174949313,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV14Q95BpEHq,,,,author_expand,owner:32289484,2026-04-02T06:04:44.424315+00:00,2026-04-02T06:04:44.424315+00:00,32289484,95,2026-04-02T04:00:00+00:00,378,693.0,owner:32289484,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1FsXbB5EcF,,,,author_expand,owner:474980480,2026-04-02T06:36:17.214931+00:00,2026-04-02T06:36:17.214931+00:00,474980480,242,2026-04-02T04:00:00+00:00,122,384.0,owner:474980480,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1g7XzBfE1b,1008.0,游戏,27.0,rankboard,rankboard:rid=1008:rank=27,2026-04-02T15:38:07.824511+00:00,,1197454103,172,2026-04-02T04:00:00+00:00,538,747290.0,"rankboard:rid=1008:rank=27,https://www.bilibili.com/v/popular/rank/game",full_site_floorings/rankboard-20260402_233802.csv,full_site_floorings,1000
BV1gZ9nBkEuo,1007.0,鬼畜,99.0,rankboard,rankboard:rid=1007:rank=99,2026-04-02T15:38:09.862462+00:00,,35811260,126,2026-04-02T04:00:00+00:00,72,37239.0,"rankboard:rid=1007:rank=99,https://www.bilibili.com/v/popular/rank/kichiku",full_site_floorings/rankboard-20260402_233802.csv,full_site_floorings,1000
BV1H4XWBqEJw,1003.0,音乐,75.0,rankboard,rankboard:rid=1003:rank=75,2026-04-02T15:38:11.933578+00:00,,427410406,137,2026-04-02T04:00:00+00:00,3925,193013.0,"rankboard:rid=1003:rank=75,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260402_233802.csv,full_site_floorings,1000
BV11U9WBLEVn,1002.0,娱乐,89.0,rankboard,rankboard:rid=1002:rank=89,2026-04-02T15:38:18.042996+00:00,,3546746756008516,138,2026-04-02T04:00:00+00:00,6318,22597.0,"rankboard:rid=1002:rank=89,https://www.bilibili.com/v/popular/rank/ent",full_site_floorings/rankboard-20260402_233802.csv,full_site_floorings,1000
BV1sQX6BsErW,,,,hot,hot:pn=2:ps=20,2026-04-02T15:36:48.627522+00:00,2026-04-02T15:36:48.627522+00:00,3816626,250,2026-04-02T04:00:00+00:00,2184,377509.0,hot:pn=2:ps=20,full_site_floorings/daily_hot-20260402_233648.csv,full_site_floorings,1001
BV18o9nBVEUq,,,,hot,hot:pn=3:ps=20,2026-04-02T15:36:48.627522+00:00,2026-04-02T15:36:48.627522+00:00,37029661,229,2026-04-02T04:00:00+00:00,729,151530.0,hot:pn=3:ps=20,full_site_floorings/daily_hot-20260402_233648.csv,full_site_floorings,1001
BV1go9nBVEeW,,,,hot,hot:pn=3:ps=20,2026-04-02T15:36:48.627522+00:00,2026-04-02T15:36:48.627522+00:00,628622962,29,2026-04-02T04:00:00+00:00,3633,121048.0,hot:pn=3:ps=20,full_site_floorings/daily_hot-20260402_233648.csv,full_site_floorings,1001
BV1ni9nBoE3L,,,,hot,hot:pn=6:ps=20,2026-04-02T15:36:48.627522+00:00,2026-04-02T15:36:48.627522+00:00,644255470,250,2026-04-02T04:00:00+00:00,1518,508221.0,hot:pn=6:ps=20,full_site_floorings/daily_hot-20260402_233648.csv,full_site_floorings,1001
BV1NA9JBhE9C,,,,hot,hot:pn=20:ps=20,2026-04-02T15:36:48.627522+00:00,2026-04-02T15:36:48.627522+00:00,137429365,17,2026-04-02T04:00:00+00:00,254,300420.0,hot:pn=20:ps=20,full_site_floorings/daily_hot-20260402_233648.csv,full_site_floorings,1001
BV1Z49WB8EMD,,,,author_expand,owner:75480955,2026-04-02T05:46:14.896121+00:00,2026-04-02T05:46:14.896121+00:00,75480955,172,2026-04-02T03:59:56+00:00,999,29285.0,owner:75480955,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1dt9WBfEqD,,,,author_expand,owner:1390829728,2026-04-02T06:07:40.668547+00:00,2026-04-02T06:07:40.668547+00:00,1390829728,205,2026-04-02T03:57:50+00:00,20,131.0,owner:1390829728,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1Z49WBhESF,,,,author_expand,owner:3546786627062259,2026-04-02T06:27:04.318186+00:00,2026-04-02T06:27:04.318186+00:00,3546786627062259,75,2026-04-02T03:57:41+00:00,64,151.0,owner:3546786627062259,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1dt9WBfEKM,1002.0,娱乐,51.0,rankboard,rankboard:rid=1002:rank=51,2026-04-02T15:38:18.042996+00:00,,382208511,241,2026-04-02T03:56:40+00:00,336,44482.0,"rankboard:rid=1002:rank=51,https://www.bilibili.com/v/popular/rank/ent",full_site_floorings/rankboard-20260402_233802.csv,full_site_floorings,1000
BV1ot9WBfETQ,,,,author_expand,owner:2137589551,2026-04-02T06:02:55.393776+00:00,2026-04-02T06:02:55.393776+00:00,2137589551,207,2026-04-02T03:55:07+00:00,203,16136.0,owner:2137589551,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1ot9WBfEzG,,,,author_expand,owner:522653994,2026-04-02T05:35:44.244160+00:00,2026-04-02T05:35:44.244160+00:00,522653994,205,2026-04-02T03:53:09+00:00,35,1245.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
BV1N39WBrE8e,,,,author_expand,owner:3546902503098598,2026-04-02T05:58:24.997686+00:00,2026-04-02T05:58:24.997686+00:00,3546902503098598,154,2026-04-02T03:52:46+00:00,66,317.0,owner:3546902503098598,uid_expansions/uid_expansion_20260325_20260402_124915/videolist_part_1.csv,uid_expansions,0
