bvid,has_stat_snapshot,has_comment_snapshot
BV1DuDnBeERG,True,True
BV1DwDjBXEPz,True,True
BV1DwDtBpEtB,True,True
BV1DyDtB9ENG,True,True
BV1DzDZBzEKy,True,True
BV1E1D6BrEDk,True,True
BV1E1DLBvE3V,True,True
BV1E1DLBvE43,True,True
BV1E1DLBvEpw,True,True
BV1E2D7BkEmj,True,True
BV1E2DPBNEGc,True,True
BV1E3DkBCEGa,True,True
BV1E4QwBPEB8,True,True
BV1E7DWBdEzk,True,True
BV1E7DZB9EZZ,True,True
BV1E7DvBxECx,True,True
BV1ECDiB4E3X,True,True
BV1ECDiB4EpA,True,True
BV1ECDsBZE7P,True,True
BV1ECXjBkEP3,True,True
BV1EDD6BMEWt,True,True
BV1EEDvBREZH,True,True
BV1EJDWBsEgW,True,True
BV1EJDZBpEHN,True,True
BV1EKDKB3EbE,True,True
BV1EKDbBzEYc,True,True
BV1ELDcBfEkQ,True,True
BV1EMQcBtEM4,True,True
BV1ENQcB8E4c,True,True
BV1EPDfBpEM4,True,True
BV1EPQcBcEmU,True,True
BV1EQD6BqE3n,True,True
BV1ESD7B6EWz,True,True
BV1ESDJBEEfR,True,True
BV1EUD6BzE5R,True,True
BV1EUDKBrE5p,True,True
BV1EVDhBkEPu,True,True
BV1EVSfBpEGH,True,True
BV1EWDqBFEBY,True,True
BV1EWDxB8EBR,True,True
BV1EWQFBtEdH,True,True
BV1EYDaBmELo,True,True
BV1EaDrBgE4c,True,True
BV1EaSZBnEMw,True,True
BV1EbD8BkEPf,True,True
BV1EbSdByELr,True,True
BV1EcDLBvEbJ,True,True
BV1EcDfBsETa,True,True
BV1EhXyBsEsS,True,True
BV1EiDaB1ETe,True,True
BV1EjDWB4Efs,True,True
BV1EjDYBEEWM,True,True
BV1EmD6BgEeA,True,True
BV1EnDZBQEGf,True,True
BV1EnDZBXEDc,True,True
BV1EnDvBWELE,True,True
BV1EnDvBWEjy,True,True
BV1EnDvBWEtU,True,True
BV1EnQFB8ECc,True,True
BV1EqDeBXEXv,True,True
BV1ErDiBZEa8,True,True
BV1ErDiBZEdB,True,True
BV1EvDaBjE4z,True,True
BV1EvDaBjE6Y,True,True
BV1EvDaBjEMw,True,True
BV1EvDaBjEeS,True,True
BV1ExDzBiECe,True,True
BV1ExSdB2EyU,True,True
BV1EyDLBKECE,True,True
BV1EyDLBKEk2,True,True
BV1EyDLBKEkm,True,True
BV1EzDeBHE8p,True,True
BV1EzXUBvEjc,True,True
BV1F1D7BVEQ7,True,True
BV1F2D7BkEhW,True,True
BV1F2QcBaEcq,True,True
BV1F3DYBQE7k,True,True
BV1F3DYBQEFu,True,True
BV1F3DkBCE7F,True,True
BV1F4DrBCE5L,True,True
BV1F4DrBCEwd,True,True
BV1F5DvBtEDB,True,True
BV1F6DfBZEpu,True,True
BV1F7DvBxEVe,True,True
BV1F7DvBxErm,True,True
BV1F9SSBPE8F,True,True
BV1FADbBrEpc,True,True
BV1FCQcBeEjo,True,True
BV1FCQcBeEuf,True,True
BV1FEDqBYErM,True,True
BV1FHDqBhEGH,True,True
BV1FHDzBuE77,True,True
BV1FHDzBuEEe,True,True
BV1FHDzBuEng,True,True
BV1FKDbBzEcE,True,True
BV1FLDcBfEEv,True,True
BV1FLDvBoE1g,True,True
BV1FLDvBoEPu,True,True
BV1FLDvBoEgx,True,True
BV1FMDYB9EQH,True,True
