bvid,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs
BV1q8DDBaENK,author_expand,owner:187100549,2026-04-12T12:47:22.907185+00:00,2026-04-12T12:47:22.907185+00:00,187100549,21,2026-04-12T10:37:06+00:00,154,1653.0,owner:187100549
BV13ZDmB2ExM,author_expand,owner:1242771265,2026-04-12T12:51:04.091286+00:00,2026-04-12T12:51:04.091286+00:00,1242771265,168,2026-04-12T00:34:49+00:00,139,29710.0,owner:1242771265
BV1sQDUBzE3s,author_expand,owner:1486481247,2026-04-12T12:51:06.188217+00:00,2026-04-12T12:51:06.188217+00:00,1486481247,241,2026-04-12T07:10:28+00:00,146,2046.0,owner:1486481247
BV1eTQMB3E5H,author_expand,owner:3546617862949729,2026-04-12T12:51:19.788304+00:00,2026-04-12T12:51:19.788304+00:00,3546617862949729,195,2026-04-12T00:00:00+00:00,916743,1553.0,owner:3546617862949729
