bvid,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs
BV1YQDsBHEEp,author_expand,owner:928123,2026-04-12T10:25:12.333081+00:00,2026-04-12T10:25:12.333081+00:00,928123,33,2026-04-12T08:30:02+00:00,1438,67508.0,owner:928123
BV1uFDUBLEXK,author_expand,owner:928123,2026-04-12T10:25:12.333081+00:00,2026-04-12T10:25:12.333081+00:00,928123,33,2026-04-12T02:00:02+00:00,1374,853563.0,owner:928123
BV1uFDUBLE2B,author_expand,owner:928123,2026-04-12T10:25:12.333081+00:00,2026-04-12T10:25:12.333081+00:00,928123,33,2026-04-12T02:00:02+00:00,1380,54819.0,owner:928123
BV1rtDCBDEjJ,author_expand,owner:928123,2026-04-12T10:25:12.333081+00:00,2026-04-12T10:25:12.333081+00:00,928123,33,2026-04-11T11:30:01+00:00,1483,75148.0,owner:928123
BV1FtDCBDEk7,author_expand,owner:928123,2026-04-12T10:25:12.333081+00:00,2026-04-12T10:25:12.333081+00:00,928123,33,2026-04-11T11:30:01+00:00,1489,483092.0,owner:928123
BV1W7DrBSEBX,author_expand,owner:928123,2026-04-12T10:25:12.333081+00:00,2026-04-12T10:25:12.333081+00:00,928123,33,2026-04-11T10:00:02+00:00,1413,25921.0,owner:928123
BV115DDBkEvD,author_expand,owner:946974,2026-04-12T10:25:56.347512+00:00,2026-04-12T10:25:56.347512+00:00,946974,95,2026-04-12T03:00:00+00:00,951,1101292.0,owner:946974
BV1DSDCBvEK8,author_expand,owner:3670216,2026-04-12T10:26:09.605924+00:00,2026-04-12T10:26:09.605924+00:00,3670216,137,2026-04-11T10:00:00+00:00,2398,409290.0,owner:3670216
BV1tgcjzyEGt,author_expand,owner:7584632,2026-04-12T10:27:44.228107+00:00,2026-04-12T10:27:44.228107+00:00,7584632,178,2026-04-12T10:01:02+00:00,2678,1381.0,owner:7584632
BV12gcjzCEhB,author_expand,owner:7584632,2026-04-12T10:27:44.228107+00:00,2026-04-12T10:27:44.228107+00:00,7584632,178,2026-04-12T10:00:02+00:00,2678,656.0,owner:7584632
BV1eWDyBGE2C,author_expand,owner:7584632,2026-04-12T10:27:44.228107+00:00,2026-04-12T10:27:44.228107+00:00,7584632,183,2026-04-12T04:05:02+00:00,66,4727.0,owner:7584632
BV18hDyBqErD,author_expand,owner:7584632,2026-04-12T10:27:44.228107+00:00,2026-04-12T10:27:44.228107+00:00,7584632,183,2026-04-12T04:04:02+00:00,259,1577.0,owner:7584632
BV18YDyBKEAD,author_expand,owner:7584632,2026-04-12T10:27:44.228107+00:00,2026-04-12T10:27:44.228107+00:00,7584632,183,2026-04-12T04:03:02+00:00,183,1464.0,owner:7584632
BV1atDyBzEtE,author_expand,owner:7584632,2026-04-12T10:27:44.228107+00:00,2026-04-12T10:27:44.228107+00:00,7584632,183,2026-04-12T04:02:01+00:00,123,1530.0,owner:7584632
BV15AD1B1E3i,author_expand,owner:7584632,2026-04-12T10:27:44.228107+00:00,2026-04-12T10:27:44.228107+00:00,7584632,183,2026-04-12T04:01:02+00:00,114,1320.0,owner:7584632
BV1bcQFBVEvM,author_expand,owner:7584632,2026-04-12T10:27:44.228107+00:00,2026-04-12T10:27:44.228107+00:00,7584632,180,2026-04-12T04:00:02+00:00,3075,284426.0,owner:7584632
BV1LtQFBREvK,author_expand,owner:7584632,2026-04-12T10:27:44.228107+00:00,2026-04-12T10:27:44.228107+00:00,7584632,183,2026-04-11T12:01:01+00:00,43,20218.0,owner:7584632
BV1RTDfBJERW,author_expand,owner:7584632,2026-04-12T10:27:44.228107+00:00,2026-04-12T10:27:44.228107+00:00,7584632,180,2026-04-11T12:00:02+00:00,2385,772406.0,owner:7584632
BV1kfDDBkEZw,author_expand,owner:20165629,2026-04-12T10:30:36.679621+00:00,2026-04-12T10:30:36.679621+00:00,20165629,232,2026-04-12T09:31:21+00:00,180,13321.0,owner:20165629
BV1rtDCBDEW7,author_expand,owner:39627524,2026-04-12T10:31:22.435778+00:00,2026-04-12T10:31:22.435778+00:00,39627524,21,2026-04-11T10:08:45+00:00,3354,1212891.0,owner:39627524
BV1EMDQBiEuL,author_expand,owner:50329118,2026-04-12T10:31:35.020241+00:00,2026-04-12T10:31:35.020241+00:00,50329118,171,2026-04-12T09:57:00+00:00,3804,4404.0,owner:50329118
BV1HSDyBsEGr,author_expand,owner:50329118,2026-04-12T10:31:35.020241+00:00,2026-04-12T10:31:35.020241+00:00,50329118,171,2026-04-11T14:22:53+00:00,1152,43075.0,owner:50329118
BV1VKD1BCE8m,author_expand,owner:50329118,2026-04-12T10:31:35.020241+00:00,2026-04-12T10:31:35.020241+00:00,50329118,171,2026-04-11T14:19:02+00:00,188,10643.0,owner:50329118
BV1tYDkBtEt7,author_expand,owner:50329118,2026-04-12T10:31:35.020241+00:00,2026-04-12T10:31:35.020241+00:00,50329118,171,2026-04-11T12:20:14+00:00,6979,458060.0,owner:50329118
BV1PnDCBxEDd,author_expand,owner:50329118,2026-04-12T10:31:35.020241+00:00,2026-04-12T10:31:35.020241+00:00,50329118,171,2026-04-11T10:10:10+00:00,8348,160788.0,owner:50329118
BV1fLDvBdE1X,author_expand,owner:15773384,2026-04-12T10:35:16.000522+00:00,2026-04-12T10:35:16.000522+00:00,15773384,145,2026-04-12T03:00:02+00:00,5764,5353.0,owner:15773384
BV1xUQFB3EjB,author_expand,owner:98627270,2026-04-12T10:37:15.480005+00:00,2026-04-12T10:37:15.480005+00:00,98627270,153,2026-04-12T03:00:02+00:00,1304,1543141.0,owner:98627270
BV1xUQFB3EXr,author_expand,owner:98627270,2026-04-12T10:37:15.480005+00:00,2026-04-12T10:37:15.480005+00:00,98627270,170,2026-04-12T03:00:02+00:00,48,530310.0,owner:98627270
BV1FtDCBDEr3,author_expand,owner:373388923,2026-04-12T10:38:50.054439+00:00,2026-04-12T10:38:50.054439+00:00,373388923,85,2026-04-11T09:54:08+00:00,107,1335154.0,owner:373388923
BV1nFDSBPEbM,author_expand,owner:392836434,2026-04-12T10:38:52.067700+00:00,2026-04-12T10:38:52.067700+00:00,392836434,171,2026-04-12T05:42:03+00:00,408,10825.0,owner:392836434
BV1piDSBzEWH,author_expand,owner:392836434,2026-04-12T10:38:52.067700+00:00,2026-04-12T10:38:52.067700+00:00,392836434,171,2026-04-12T05:16:34+00:00,9579,41875.0,owner:392836434
BV1GtDyB6EhG,author_expand,owner:392836434,2026-04-12T10:38:52.067700+00:00,2026-04-12T10:38:52.067700+00:00,392836434,171,2026-04-11T14:58:39+00:00,257,26730.0,owner:392836434
